DateTime,DownloadSpeed,UploadSpeed,PacketLoss,SSID
Monday 06/01/2020 23:50,46.9,5.99,0,RyanNetwork_5GHz_5GEXT
Monday 06/01/2020 23:52,38.44,5.91,0,RyanNetwork_5GHz_5GEXT
Monday 06/01/2020 23:57,47.78,5.96,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 00:02,36.11,5.94,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 00:07,46.5,5.76,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 00:12,46.06,5.92,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 00:17,45.41,5.93,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 00:22,48.36,5.97,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 00:27,46.82,5.76,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 00:32,45.73,5.71,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 13:40,45.31,5.59,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 14:00,21.65,5.76,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 14:05,44.58,5.9,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 14:25,45.71,5.91,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 14:30,44,5.79,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 14:35,41.88,5.87,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 14:40,46.6,5.87,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 14:45,46.56,5.85,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 14:50,43.69,5.88,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 14:55,45.93,5.82,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 15:00,43.23,5.89,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 15:05,43.6,5.84,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 15:10,35.16,5.88,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 15:15,42.42,5.86,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 15:20,47.84,5.79,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 15:25,46.48,5.9,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 15:30,50.68,5.9,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 15:35,50.94,5.88,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 15:40,48.96,5.88,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 15:45,52.35,5.94,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 15:50,50.3,5.88,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 15:55,52.12,5.93,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 16:00,50.87,5.78,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 16:05,51.11,5.99,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 16:10,50.09,5.9,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 16:15,51.45,5.73,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 16:20,43.65,4.96,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 16:25,49.15,5.91,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 16:30,47.22,5.92,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 16:35,49.2,5.87,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 16:40,50.05,5.7,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 16:45,49.74,5.67,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 16:50,47.04,5.94,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 16:55,48.21,5.88,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 17:00,45.43,5.74,0,RyanNetwork_5GHz_5GEXT
Tuesday 06/02/2020 17:15,26.1,5.76,0,RyanNetwork_5GHz_5GEXT
